ContactsContactID,VanID,ResultID,CanvassedBy,CommitteeID,CreatedBy,DateCreated,DateCanvassed,InputTypeID,ContactTypeID,ChangeTypeId,ErrorMessage
1880011,101553642,1,2196065,92476,2196065,10/8/2021 10:50:00 PM,10/8/2021 6:42:00 PM,14,2,1,
1880012,101548547,14,2194893,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:45:00 PM,14,2,1,
1880013,101548432,14,2194893,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:53:00 PM,14,2,1,
1880014,101548604,14,2196054,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:23:00 PM,14,2,1,
1880015,101538512,14,2197447,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 10:02:00 PM,14,2,1,
1880016,101552788,14,2194352,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:37:00 PM,14,2,1,
1880017,101220848,14,2190893,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:01:00 PM,14,2,1,
1880018,101466084,14,2191385,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:36:00 PM,14,2,1,
1880019,101464466,23,2191385,92476,2191385,10/8/2021 10:50:00 PM,10/8/2021 9:30:00 PM,14,2,1,
1880020,101492691,14,2194389,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:49:00 PM,14,2,1,
1880021,101223376,14,2194395,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:32:00 PM,14,2,1,
1880022,101492940,14,2194888,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:03:00 PM,14,2,1,
1880023,101492691,14,2194892,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 7:56:00 PM,14,2,1,
1880024,101489683,14,2194904,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 8:17:00 PM,14,2,1,
1880025,101487492,14,2194904,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:38:00 PM,14,2,1,
1880026,101466084,14,2197476,92476,2169650,10/8/2021 10:50:00 PM,10/8/2021 9:36:00 PM,14,2,1,
1880027,101464466,23,2197476,92476,2197476,10/8/2021 10:50:00 PM,10/8/2021 9:30:00 PM,14,2,1,
