pk,data
1,0.679486656
2,0.848844061
3,0.598265158
4,0.735555144
5,0.075005578
6,0.981531357
7,0.385244935
8,0.697549388
9,0.2448082
10,0.001719608
11,0.088980714
12,0.004997709
13,0.138848063
14,0.782436804
15,0.834330693
16,0.661956764
17,0.484198472
18,0.120525256
19,0.489294504
20,0.363148191
21,0.366096106
22,0.727252033
23,0.757665108
24,0.475220701
25,0.829202054
26,0.650770171
27,0.604401885
28,0.005841475
29,0.204282967
30,0.924787585
31,0.587613061
32,0.016397599
33,0.138880218
34,0.425946177
35,0.100646395
36,0.456084315
37,0.327708803
38,0.468574829
39,0.863829174
40,0.605790821
41,0.220630181
42,0.28198559
43,0.091765302
44,0.46970548
45,0.293797116
46,0.737265057
47,0.248236546
48,0.507833394
49,0.143234494
50,0.702242695
51,0.9176936
52,0.060715068
53,0.995546862
54,0.864823893
55,0.796310749
56,0.426268862
57,0.181820151
58,0.987232576
59,0.775017236
60,0.040703773
61,0.24926236
62,0.462959934
63,0.087065088
64,0.478892271
65,0.940646558
66,0.184419399
67,0.486187147
68,0.791061583
69,0.250508352
70,0.281071437
71,0.986594243
72,0.056997511
73,0.40651719
74,0.342951771
75,0.326230227
76,0.215776004
77,0.348375215
78,0.288171773
79,0.473194662
80,0.618250648
81,0.401636822
82,0.083181865
83,0.256641255
84,0.273200035
85,0.761393426
86,0.953584614
87,0.88312547
88,0.576319503
89,0.413691538
90,0.419546137
91,0.676809949
92,0.147364027
93,0.825263695
94,0.137755125
95,0.456635225
96,0.845755931
97,0.354521767
98,0.691127801
99,0.91811167
100,0.58538417
